利用日,注文ID,利用項目,備考,金額（税抜き）,消費税,金額（税込）
2022/06/10,az-market-10110688,PayPay決済手数料,,61,6,67
2022/06/10,az-market-10110710,ワイジェイカード・PayPayカード決済手数料,,56,0,56
2022/06/10,az-market-10110706,ワイジェイカード・PayPayカード決済手数料,,55,0,55
2022/06/10,az-market-10110704,PayPayあと払い決済手数料,,89,8,97
2022/06/10,az-market-10110698,カード決済手数料,,367,0,367
2022/06/10,az-market-10110697,カード決済手数料,,126,0,126
2022/06/10,az-market-10110689,カード決済手数料,,1105,0,1105
2022/06/10,az-market-10110711,カード決済手数料,,126,0,126
2022/06/10,az-market-10110706,PayPay決済手数料,,19,1,20
2022/06/10,az-market-10110705,カード決済手数料,,48,0,48
2022/06/10,az-market-10110700,PayPay決済手数料,,39,3,42
2022/06/10,az-market-10110700,カード決済手数料,,55,0,55
2022/06/10,az-market-10110696,カード決済手数料,,62,0,62
2022/06/10,az-market-10110691,カード決済手数料,,81,0,81
2022/06/10,az-market-10110690,PayPay決済手数料,,85,8,93
2022/06/10,az-market-10110702,PayPayモール掲載料,,68,6,74
2022/06/10,az-market-10110711,PayPayモール掲載料,,108,10,118
2022/06/10,az-market-10110689,PayPayモール掲載料,,930,93,1023
2022/06/10,az-market-10110688,PayPayモール掲載料,,56,5,61
2022/06/10,az-market-10110700,PayPayモール掲載料,,82,8,90
2022/06/10,az-market-10110685,PayPayモール掲載料,,68,6,74
2022/06/10,az-market-10110696,PayPayモール掲載料,,53,5,58
2022/06/10,az-market-10110705,PayPayモール掲載料,,81,8,89
2022/06/10,az-market-10110698,PayPayモール掲載料,,315,31,346
2022/06/10,az-market-10110697,PayPayモール掲載料,,108,10,118
2022/06/10,az-market-10110706,PayPayモール掲載料,,68,6,74
2022/06/10,az-market-10110710,PayPayモール掲載料,,97,9,106
2022/06/10,az-market-10110709,PayPayモール掲載料,,82,8,90
2022/06/10,az-market-10110693,PayPayモール掲載料,,60,6,66
2022/06/10,az-market-10110701,PayPayモール掲載料,,68,6,74
2022/06/10,az-market-10110708,PayPayモール掲載料,,68,6,74
2022/06/10,az-market-10110692,PayPayモール掲載料,,68,6,74
2022/06/10,az-market-10110690,PayPayモール掲載料,,930,93,1023
2022/06/10,az-market-10110707,PayPayモール掲載料,,82,8,90
2022/06/10,az-market-10110699,PayPayモール掲載料,,35,3,38
2022/06/10,az-market-10110694,PayPayモール掲載料,,68,6,74
